x;y
-235;
-235;
-235;
-235;
-235;
-235;
-235;
-233;
-232;
-230;
-229;
-226;
-223;
-221;
-218;
-213;
-210;
-206;
-201;
-191;
-187;
-182;
-178;
-171;
-167;
-164;
-160;
-153;
-149;
-145;
-142;
-135;
-131;
-128;
-125;
-118;
-114;
3;-113
7;-113
17;-113
21;-113
26;-113
29;-113
36;-113
39;-113
42;-113
47;-113
49;-113
51;-113
53;-113
55;-113
59;-113
62;-113
65;-113
67;-113
72;-113
74;-113
78;-113
82;-113
89;-113
93;-113
96;-113
100;-113
102;-113
103;-113
105;-113
107;-113
