x;y
-120;-123
-120;-122
-120;-120
-120;-119
-120;-115
-120;-114
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-112
-120;-114
-120;-117
-120;-119
-120;-121
-120;-122
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-123
-120;-119
-120;-119
-120;-113
-120;-110
-120;-107
-120;-105
-120;-105
-120;-105
-120;-105
-120;-105
-120;-105
-120;-105
-120;-105
-120;-109
-120;-111
-120;-113
-120;-116
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-120;-117
-118;-117
-118;-117
-113;-117
-111;-117
-108;-117
-102;-117
-99;-117
-96;-117
-90;-117
-86;-117
-83;-117
-77;-117
-77;-117
-70;-117
-67;-117
-63;-117
-58;-117
-49;-117
-44;-117
-39;-117
-34;-117
-25;-117
-21;-117
-16;-117
-11;-117
-4;-117
0;-117
2;-117
8;-117
12;-117
15;-117
18;-117
25;-117
25;-117
31;-117
34;-117
38;-117
44;-117
48;-117
51;-117
57;-117
57;-117
64;-117
67;-117
70;-117
73;-117
77;-117
79;-117
81;-117
83;-117
87;-117
89;-117
91;-117
93;-117
97;-117
100;-117
105;-117
105;-117
110;-117
112;-117
115;-117
116;-117
118;-117
119;-117
120;-117
120;-117
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
