x;y
-124;118
-124;118
-124;118
-122;118
-120;118
-119;118
-117;118
-113;118
-110;118
-106;118
-99;118
-95;118
-88;118
-84;118
-81;118
-77;118
-70;118
-66;118
-62;118
-59;118
-55;118
-48;118
-44;118
-41;118
-37;118
-30;118
-26;118
-22;118
-19;118
-15;118
-8;118
-1;118
2;118
6;118
9;118
13;118
17;118
24;118
28;118
31;118
35;118
39;118
46;118
50;118
53;118
61;118
64;118
68;118
74;118
78;118
81;118
84;118
86;118
90;118
92;118
94;118
96;118
100;118
101;118
103;118
105;118
109;118
112;118
116;118
119;118
122;118
128;118
129;118
131;118
132;118
135;118
136;118
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
