x;y
120;-120
120;-118
120;-117
120;-116
120;-113
120;-111
120;-109
120;-107
120;-102
120;-99
120;-96
120;-94
120;-91
120;-86
120;-84
120;-81
120;-75
120;-72
120;-69
120;-66
120;-62
120;-56
120;-53
120;-50
120;-47
120;-41
120;-38
120;-35
120;-32
120;-26
120;-23
120;-21
120;-16
120;-13
120;-10
120;-8
120;-5
120;0
120;1
120;4
120;6
120;11
120;14
120;16
120;19
120;23
120;25
120;27
120;29
120;33
120;35
120;37
120;39
120;43
120;45
120;47
120;51
120;52
120;54
120;56
120;57
120;60
120;62
120;63
120;65
120;66
120;66
120;66
120;66
120;66
120;69
120;72
120;75
120;82
120;85
120;88
120;90
120;95
120;98
120;100
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;102
120;106
120;109
120;112
120;119
120;122
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
