x;y
-124;109
-124;105
-124;102
-124;100
-124;97
-124;94
-124;89
-124;87
-124;84
-124;82
-124;78
-124;78
-124;78
-124;78
-124;78
-124;78
-124;78
-124;78
-124;78
-124;78
-124;77
-124;72
-122;70
-119;68
-115;64
-113;62
-111;60
-111;58
-111;56
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;52
-111;46
-111;43
-111;39
-111;36
-111;30
-111;28
-111;26
-111;24
-111;20
-111;18
-111;18
-111;18
-111;18
-111;18
-111;18
-111;16
-111;12
-111;10
-111;8
-111;6
-111;3
-111;-1
-111;-3
-111;-6
-111;-10
-111;-12
-111;-14
-111;-16
-111;-19
-111;-21
-111;-23
-111;-25
-111;-27
-111;-29
-111;-34
-111;-36
-111;-41
-111;-44
-111;-47
-111;-49
-111;-52
-111;-57
-111;-59
-111;-62
-111;-65
-111;-70
-111;-72
-111;-75
-111;-77
-111;-80
-111;-85
-111;-88
-111;-90
-111;-93
-111;-99
-111;-102
-111;-109
-111;-112
-111;-115
-111;-117
-111;-121
-111;-124
-111;-126
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-111;-128
-109;-128
-104;-128
-101;-128
-99;-128
-94;-128
-92;-128
-90;-128
-87;-128
-85;-128
-83;-128
-79;-128
-76;-128
-74;-128
-73;-128
-71;-128
-69;-128
-67;-128
-63;-128
-61;-128
-59;-128
-54;-128
-51;-128
-49;-128
-44;-128
-41;-128
-39;-128
-36;-128
-34;-128
-31;-128
-26;-128
-24;-128
-21;-128
-16;-128
-14;-128
-11;-128
-9;-128
-4;-128
-1;-128
0;-128
3;-128
5;-128
8;-128
13;-128
18;-128
20;-128
23;-128
25;-128
27;-128
29;-128
31;-128
35;-128
36;-128
40;-128
42;-128
43;-128
45;-128
47;-128
51;-128
53;-128
55;-128
57;-128
59;-128
64;-128
68;-128
70;-128
73;-128
75;-128
77;-128
81;-128
83;-128
86;-128
88;-128
90;-128
94;-128
96;-128
99;-128
102;-128
103;-128
105;-128
106;-128
106;-128
106;-128
106;-128
106;-128
106;-128
106;-128
106;-128
106;-128
106;-128
109;-128
113;-128
119;-128
122;-128
125;-128
