time;x;y;fx;fy;;;;;;;;;;
63;120;-120;0;0;;;;;;;;;;
126;120;-120;0;0;;;;;;;;;;
189;120;-120;0;0;;;;;;;;;;
252;120;-120;0;0;;;;;;;;;;
315;120;-120;0;0;;;;;;;;;;
378;120;-120;0;0;;;;;;;;;;
441;120;-120;0;0;;;;;;;;;;
504;120;-120;0;0;;;;;;;;;;
567;120;-120;0;0;;;;;;;;;;
630;120;-120;0;0;;;;;;;;;;
693;120;-120;0;0;;;;;;;;;;
756;120;-120;0;0;;;;;;;;;;
819;120;-120;0;0;;;;;;;;;;
882;120;-120;0;0;;;;;;;;;;
945;120;-120;0;0;;;;;;;;;;
1008;120;-120;0;0;;;;;;;;;;
1071;120;-120;0;0;;;;;;;;;;
1134;120;-120;0;0;;;;;;;;;;
1197;120;-120;0;0;;;;;;;;;;
1260;120;-120;0;0;;;;;;;;;;
1323;120;-120;0;0;;;;;;;;;;
1386;120;-120;0;0;;;;;;;;;;
1449;120;-120;0;0;;;;;;;;;;
1512;120;-120;0;0;;;;;;;;;;
1575;120;-120;0;0;;;;;;;;;;
1638;120;-120;0;0;;;;;;;;;;
1701;120;-120;0;0;;;;;;;;;;
1764;120;-120;0;0;;;;;;;;;;
1827;120;-120;0;0;;;;;;;;;;
1890;120;-120;0;0;;;;;;;;;;
1953;120;-120;0;0;;;;;;;;;;
2016;120;-120;0;0;;;;;;;;;;
2079;120;-120;0;0;;;;;;;;;;
2142;120;-120;0;0;;;;;;;;;;
2205;120;-120;0;0;;;;;;;;;;
2268;120;-120;0;0;;;;;;;;;;
2331;120;-120;0;0;;;;;;;;;;
2394;120;-120;0;0;;;;;;;;;;
2457;120;-120;0;0;;;;;;;;;;
2520;120;-120;0;0;;;;;;;;;;
2583;120;-120;0;0;;;;;;;;;;
2646;120;-120;0;0;;;;;;;;;;
2709;120;-120;0;0;;;;;;;;;;
2772;120;-120;0;0;;;;;;;;;;
2835;120;-120;0;0;;;;;;;;;;
2898;120;-120;0;0;;;;;;;;;;
2961;120;-120;0;0;;;;;;;;;;
3024;120;-120;0;0;;;;;;;;;;
3087;120;-120;0;0;;;;;;;;;;
3150;120;-120;0;0;;;;;;;;;;
3213;120;-120;0;0;;;;;;;;;;
3276;120;-120;0;0;;;;;;;;;;
3339;120;-120;0;0;;;;;;;;;;
3402;120;-120;0;0;;;;;;;;;;
3465;120;-120;0;0;;;;;;;;;;
3528;120;-120;0;0;;;;;;;;;;
3591;120;-120;0;0;;;;;;;;;;
3654;120;-120;0;0;;;;;;;;;;
3717;120;-120;0;0;;;;;;;;;;
3780;120;-120;0;0;;;;;;;;;;
3843;120;-120;0;0;;;;;;;;;;
3906;120;-120;0;0;;;;;;;;;;
3969;120;-120;0;0;;;;;;;;;;
4032;120;-120;0;0;;;;;;;;;;
4095;120;-120;0;0;;;;;;;;;;
4158;120;-120;0;0;;;;;;;;;;
4221;120;-120;0;0;;;;;;;;;;
4284;120;-120;0;0;;;;;;;;;;
4347;120;-120;0;0;;;;;;;;;;
4410;120;-120;0;0;;;;;;;;;;
4473;120;-120;0;0;;;;;;;;;;
4536;120;-120;0;0;;;;;;;;;;
4599;120;-120;0;0;;;;;;;;;;
4662;120;-120;0;0;;;;;;;;;;
4725;120;-120;0;0;;;;;;;;;;
4788;120;-120;0;0;;;;;;;;;;
4851;120;-120;0;93;;;;;;;;;;
4914;120;-120;0;93;;;;;;;;;;
4977;120;-120;0;93;;;;;;;;;;
5040;120;-120;0;93;;;;;;;;;;
5103;120;-120;0;93;;;;;;;;;;
5166;120;-120;0;93;;;;;;;;;;
5229;120;-118;0;131;;;;;;;;;;
5292;120;-117;0;131;;;;;;;;;;
5355;120;-113;0;131;;;;;;;;;;
5418;120;-111;0;131;;;;;;;;;;
5481;120;-110;0;131;;;;;;;;;;
5544;120;-108;0;131;;;;;;;;;;
5607;120;-104;0;151;;;;;;;;;;
5670;120;-102;0;151;;;;;;;;;;
5733;120;-100;0;151;;;;;;;;;;
5796;120;-98;0;151;;;;;;;;;;
5859;120;-94;0;152;;;;;;;;;;
5922;120;-92;0;152;;;;;;;;;;
5985;120;-90;0;152;;;;;;;;;;
6048;120;-88;0;152;;;;;;;;;;
6111;120;-84;0;152;;;;;;;;;;
6174;120;-81;0;164;;;;;;;;;;
6237;120;-79;0;164;;;;;;;;;;
6300;120;-76;0;164;;;;;;;;;;
6363;120;-71;0;164;;;;;;;;;;
6426;120;-69;0;164;;;;;;;;;;
6489;120;-66;0;159;;;;;;;;;;
6552;120;-61;0;159;;;;;;;;;;
6615;120;-59;0;159;;;;;;;;;;
6678;120;-56;0;159;;;;;;;;;;
6741;120;-54;0;159;;;;;;;;;;
6804;120;-49;0;182;;;;;;;;;;
6867;120;-46;0;182;;;;;;;;;;
6930;120;-44;0;182;;;;;;;;;;
6993;120;-41;0;182;;;;;;;;;;
7056;120;-36;0;182;;;;;;;;;;
7119;120;-33;0;199;;;;;;;;;;
7182;120;-30;0;199;;;;;;;;;;
7245;120;-27;0;199;;;;;;;;;;
7308;120;-20;0;199;;;;;;;;;;
7371;120;-17;0;199;;;;;;;;;;
7434;120;-14;0;198;;;;;;;;;;
7497;120;-10;0;198;;;;;;;;;;
7560;120;-4;0;198;;;;;;;;;;
7623;120;-1;0;198;;;;;;;;;;
7686;120;2;0;198;;;;;;;;;;
7749;120;4;0;157;;;;;;;;;;
7812;120;9;0;157;;;;;;;;;;
7875;120;11;0;157;;;;;;;;;;
7938;120;13;0;157;;;;;;;;;;
8001;120;15;0;157;;;;;;;;;;
8064;120;20;0;177;;;;;;;;;;
8127;120;22;0;177;;;;;;;;;;
8190;120;25;0;177;;;;;;;;;;
8253;120;27;0;177;;;;;;;;;;
8316;120;33;0;209;;;;;;;;;;
8379;120;36;0;209;;;;;;;;;;
8442;120;39;0;209;;;;;;;;;;
8505;120;42;0;209;;;;;;;;;;
8568;120;49;0;209;;;;;;;;;;
8631;120;52;0;151;;;;;;;;;;
8694;120;54;0;151;;;;;;;;;;
8757;120;56;0;151;;;;;;;;;;
8820;120;60;0;151;;;;;;;;;;
8883;120;62;0;151;;;;;;;;;;
8946;120;64;0;119;;;;;;;;;;
9009;120;66;0;119;;;;;;;;;;
9072;120;68;0;119;;;;;;;;;;
9135;120;70;0;119;;;;;;;;;;
9198;120;71;0;119;;;;;;;;;;
9261;120;73;0;119;;;;;;;;;;
9324;120;76;0;137;;;;;;;;;;
9387;120;78;0;137;;;;;;;;;;
9450;120;80;0;137;;;;;;;;;;
9513;120;82;0;137;;;;;;;;;;
9576;120;86;0;137;;;;;;;;;;
9639;120;87;0;106;;;;;;;;;;
9702;120;87;0;106;;;;;;;;;;
9765;120;87;0;106;;;;;;;;;;
9828;120;87;0;106;;;;;;;;;;
9891;120;87;0;106;;;;;;;;;;
9954;120;88;0;156;;;;;;;;;;
10017;120;90;0;156;;;;;;;;;;
10080;120;94;0;156;;;;;;;;;;
10143;120;96;0;156;;;;;;;;;;
10206;120;98;0;156;;;;;;;;;;
10269;120;101;0;186;;;;;;;;;;
10332;120;106;0;186;;;;;;;;;;
10395;120;108;0;186;;;;;;;;;;
10458;120;111;0;186;;;;;;;;;;
10521;120;114;0;186;;;;;;;;;;
10584;120;115;0;0;;;;;;;;;;
10647;120;115;0;0;;;;;;;;;;
10710;120;115;0;-44;;;;;;;;;;
10773;120;115;0;-44;;;;;;;;;;
10836;120;115;0;-44;;;;;;;;;;
10899;120;115;0;-44;;;;;;;;;;
10962;120;115;0;-44;;;;;;;;;;
11025;120;115;0;-65;;;;;;;;;;
11088;120;115;0;-65;;;;;;;;;;
11151;120;115;0;-65;;;;;;;;;;
11214;120;115;0;-65;;;;;;;;;;
11277;120;115;0;-65;;;;;;;;;;
11340;120;115;0;0;;;;;;;;;;
11403;120;115;0;0;;;;;;;;;;
11466;120;115;0;0;;;;;;;;;;
11529;120;115;0;0;;;;;;;;;;
11592;120;115;0;0;;;;;;;;;;
11655;120;115;0;0;;;;;;;;;;
11718;120;115;0;0;;;;;;;;;;
11781;120;115;0;0;;;;;;;;;;
11844;120;115;0;0;;;;;;;;;;
11907;120;115;0;0;;;;;;;;;;
11970;120;115;0;-38;;;;;;;;;;
12033;120;115;0;-38;;;;;;;;;;
12096;120;115;0;-38;;;;;;;;;;
12159;120;115;0;-38;;;;;;;;;;
12222;120;115;0;-38;;;;;;;;;;
12285;120;115;0;-58;;;;;;;;;;
12348;120;115;0;-58;;;;;;;;;;
12411;120;115;0;-58;;;;;;;;;;
12474;120;115;0;-58;;;;;;;;;;
12537;120;115;0;-58;;;;;;;;;;
12600;120;115;0;-60;;;;;;;;;;
12663;120;115;0;-60;;;;;;;;;;
12726;120;115;0;-60;;;;;;;;;;
12789;120;115;0;-60;;;;;;;;;;
12852;120;115;0;-90;;;;;;;;;;
12915;120;115;0;-90;;;;;;;;;;
12978;120;115;0;-90;;;;;;;;;;
13041;120;115;0;-90;;;;;;;;;;
13104;120;115;0;-90;;;;;;;;;;
13167;120;115;0;-172;;;;;;;;;;
13230;120;113;-35;-172;;;;;;;;;;
13293;120;110;-35;-172;;;;;;;;;;
13356;120;105;-35;-172;;;;;;;;;;
13419;120;102;-35;-172;;;;;;;;;;
13482;120;100;-35;-127;;;;;;;;;;
13545;120;98;-57;-127;;;;;;;;;;
13608;120;95;-57;-127;;;;;;;;;;
13671;120;93;-57;-127;;;;;;;;;;
13734;120;91;-57;-127;;;;;;;;;;
13797;120;90;-57;-127;;;;;;;;;;
13860;120;89;-63;-30;;;;;;;;;;
13923;120;89;-63;-30;;;;;;;;;;
13986;120;89;-63;-30;;;;;;;;;;
14049;120;89;-63;-30;;;;;;;;;;
14112;120;89;-63;0;;;;;;;;;;
14175;120;89;-48;0;;;;;;;;;;
14238;120;89;-48;0;;;;;;;;;;
14301;120;89;-48;0;;;;;;;;;;
14364;120;89;-48;0;;;;;;;;;;
14427;120;89;-48;-34;;;;;;;;;;
14490;120;89;0;-34;;;;;;;;;;
14553;120;89;0;-34;;;;;;;;;;
14616;120;89;0;-34;;;;;;;;;;
14679;120;89;0;-34;;;;;;;;;;
14742;120;89;0;0;;;;;;;;;;
14805;120;89;0;0;;;;;;;;;;
14868;120;89;0;0;;;;;;;;;;
14931;120;89;0;0;;;;;;;;;;
14994;120;89;0;0;;;;;;;;;;
15057;120;89;0;0;;;;;;;;;;
15120;120;94;0;236;;;;;;;;;;
15183;120;97;0;236;;;;;;;;;;
15246;120;100;0;236;;;;;;;;;;
15309;120;104;0;236;;;;;;;;;;
15372;120;110;0;50;;;;;;;;;;
15435;120;110;0;50;;;;;;;;;;
15498;120;110;0;50;;;;;;;;;;
15561;120;110;0;50;;;;;;;;;;
15624;120;110;0;-169;;;;;;;;;;
15687;120;108;-50;-169;;;;;;;;;;
15750;120;105;-50;-169;;;;;;;;;;
15813;120;103;-50;-169;;;;;;;;;;
15876;120;98;-50;-169;;;;;;;;;;
15939;120;95;-50;-169;;;;;;;;;;
16002;120;95;-50;-26;;;;;;;;;;
16065;120;95;-77;-26;;;;;;;;;;
16128;120;95;-77;-26;;;;;;;;;;
16191;120;95;-77;-26;;;;;;;;;;
16254;120;95;-77;-26;;;;;;;;;;
16317;120;95;-77;0;;;;;;;;;;
16380;120;95;-59;0;;;;;;;;;;
16443;120;95;-59;0;;;;;;;;;;
16506;120;95;-59;0;;;;;;;;;;
16569;120;95;-59;0;;;;;;;;;;
16632;120;95;0;106;;;;;;;;;;
16695;120;95;0;106;;;;;;;;;;
16758;120;95;0;106;;;;;;;;;;
16821;120;95;0;106;;;;;;;;;;
16884;120;95;0;106;;;;;;;;;;
16947;120;96;0;156;;;;;;;;;;
17010;120;98;0;156;;;;;;;;;;
17073;120;100;0;156;;;;;;;;;;
17136;120;104;0;156;;;;;;;;;;
17199;120;106;0;156;;;;;;;;;;
17262;120;108;-32;0;;;;;;;;;;
17325;120;108;-32;0;;;;;;;;;;
17388;120;108;-32;0;;;;;;;;;;
17451;120;108;-32;0;;;;;;;;;;
17514;120;108;-32;-64;;;;;;;;;;
17577;120;108;-54;-64;;;;;;;;;;
17640;120;108;-54;-64;;;;;;;;;;
17703;120;108;-54;-64;;;;;;;;;;
17766;120;108;-54;-64;;;;;;;;;;
17829;120;108;-54;0;;;;;;;;;;
17892;120;108;-57;0;;;;;;;;;;
17955;120;108;-57;0;;;;;;;;;;
18018;120;108;-57;0;;;;;;;;;;
18081;120;108;-57;0;;;;;;;;;;
18144;120;108;-57;-84;;;;;;;;;;
18207;118;108;-165;-84;;;;;;;;;;
18270;115;108;-165;-84;;;;;;;;;;
18333;113;108;-165;-84;;;;;;;;;;
18396;108;108;-165;-84;;;;;;;;;;
18459;106;108;-165;-85;;;;;;;;;;
18522;102;108;-211;-85;;;;;;;;;;
18585;98;108;-211;-85;;;;;;;;;;
18648;91;108;-211;-85;;;;;;;;;;
18711;87;108;-211;-85;;;;;;;;;;
18774;84;106;-211;-211;;;;;;;;;;
18837;82;103;-83;-211;;;;;;;;;;
18900;82;96;-83;-211;;;;;;;;;;
18963;82;93;-83;-211;;;;;;;;;;
19026;82;89;-83;-211;;;;;;;;;;
19089;82;86;-83;-234;;;;;;;;;;
19152;82;79;0;-234;;;;;;;;;;
19215;82;76;0;-234;;;;;;;;;;
19278;82;73;0;-234;;;;;;;;;;
19341;82;69;0;-234;;;;;;;;;;
19404;82;67;0;-39;;;;;;;;;;
19467;80;67;-141;-39;;;;;;;;;;
19530;78;67;-141;-39;;;;;;;;;;
19593;76;67;-141;-39;;;;;;;;;;
19656;72;67;-141;-47;;;;;;;;;;
19719;70;67;-200;-47;;;;;;;;;;
19782;67;67;-200;-47;;;;;;;;;;
19845;64;67;-200;-47;;;;;;;;;;
19908;61;67;-200;-47;;;;;;;;;;
19971;55;67;-200;-159;;;;;;;;;;
20034;52;64;-131;-159;;;;;;;;;;
20097;50;62;-131;-159;;;;;;;;;;
20160;47;57;-131;-159;;;;;;;;;;
20223;45;55;-131;-159;;;;;;;;;;
20286;43;53;-131;-159;;;;;;;;;;
20349;42;50;-131;-175;;;;;;;;;;
20412;41;45;-102;-175;;;;;;;;;;
20475;41;43;-102;-175;;;;;;;;;;
20538;41;40;-102;-175;;;;;;;;;;
20601;41;38;-102;-175;;;;;;;;;;
20664;39;37;-164;-75;;;;;;;;;;
20727;37;37;-164;-75;;;;;;;;;;
20790;35;37;-164;-75;;;;;;;;;;
20853;32;37;-164;-75;;;;;;;;;;
20916;28;37;-164;-78;;;;;;;;;;
20979;25;37;-189;-78;;;;;;;;;;
21042;19;37;-189;-78;;;;;;;;;;
21105;19;37;-189;-78;;;;;;;;;;
21168;13;37;-189;-78;;;;;;;;;;
21231;11;36;-189;-169;;;;;;;;;;
21294;8;33;-143;-169;;;;;;;;;;
21357;4;28;-143;-169;;;;;;;;;;
21420;2;26;-143;-169;;;;;;;;;;
21483;0;23;-143;-169;;;;;;;;;;
21546;-1;21;-143;-167;;;;;;;;;;
21609;-2;18;-108;-167;;;;;;;;;;
21672;-2;13;-108;-167;;;;;;;;;;
21735;-2;11;-108;-167;;;;;;;;;;
21798;-2;8;-108;-167;;;;;;;;;;
21861;-2;6;-108;-45;;;;;;;;;;
21924;-5;6;-186;-45;;;;;;;;;;
21987;-8;6;-186;-45;;;;;;;;;;
22050;-11;6;-186;-45;;;;;;;;;;
22113;-14;6;-186;-45;;;;;;;;;;
22176;-19;5;-171;-113;;;;;;;;;;
22239;-22;3;-171;-113;;;;;;;;;;
22302;-25;2;-171;-113;;;;;;;;;;
22365;-27;0;-171;-113;;;;;;;;;;
22428;-32;-2;-171;-113;;;;;;;;;;
22491;-35;-4;-171;-163;;;;;;;;;;
