x;y
-114;120
-114;118
-114;115
-114;108
-114;105
-114;101
-114;94
-114;91
-114;88
-114;84
-114;78
-114;76
-114;74
-114;72
-114;68
-114;66
-114;63
-114;60
-114;56
-114;53
-114;46
-114;43
-114;40
-114;36
-114;30
-114;26
-114;24
-114;18
-114;15
-114;10
-114;7
-114;4
-114;0
-114;-2
-114;-5
-114;-9
-114;-15
-114;-19
-114;-25
-114;-28
-114;-32
-114;-34
-114;-37
-114;-43
-114;-45
-114;-48
-114;-51
-114;-56
-114;-58
-114;-63
-114;-66
-114;-69
-114;-71
-114;-74
-114;-76
-114;-79
-114;-83
-114;-85
-114;-89
-114;-91
-114;-93
-114;-95
-114;-98
-114;-100
-114;-101
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-102
-114;-103
-114;-107
-114;-109
-114;-111
-114;-113
-114;-117
