x;y
119;-123
119;-121
119;-118
119;-114
119;-107
119;-103
119;-99
119;-96
119;-92
119;-85
118;-81
116;-78
113;-78
112;-78
111;-78
111;-78
111;-78
111;-83
111;-86
111;-91
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-93
111;-96
111;-98
111;-99
111;-101
111;-102
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-103
111;-102
111;-99
111;-93
111;-93
111;-87
111;-84
111;-81
111;-74
110;-71
108;-68
106;-64
101;-64
99;-64
96;-64
93;-64
88;-64
85;-64
82;-64
78;-64
78;-64
78;-64
78;-64
78;-64
78;-64
78;-64
78;-63
78;-58
78;-55
78;-53
78;-50
78;-46
78;-45
78;-43
78;-41
75;-38
73;-38
71;-38
68;-38
63;-38
60;-38
56;-38
52;-38
45;-38
41;-38
41;-38
41;-36
41;-34
41;-33
41;-31
41;-29
41;-29
41;-29
41;-29
41;-29
39;-29
33;-29
30;-29
27;-29
21;-29
18;-28
16;-26
13;-24
8;-20
7;-18
7;-16
7;-14
7;-11
7;-9
7;-8
7;-6
7;-5
7;-5
7;-5
7;-5
5;-4
3;-2
0;1
0;1
-2;3
-7;7
-9;9
-12;12
-16;17
-19;19
-19;21
-19;23
-19;26
-19;28
-19;29
-21;31
-22;33
-26;37
-27;39
-31;43
-33;44
-35;46
-37;47
-41;50
-43;52
-45;53
-47;53
-49;53
-51;53
-55;53
-56;53
-59;57
-61;58
-62;60
-64;62
-64;63
-64;63
-64;63
-64;63
-64;63
-64;63
-64;67
-64;69
-64;73
-65;75
-67;77
-68;78
-70;80
-73;84
-75;85
-77;86
-79;86
-81;86
-85;86
-86;86
-86;86
-86;86
-86;86
-86;86
-87;86
-90;88
-91;90
-93;92
-96;96
-96;98
-96;98
-96;98
-96;98
-96;98
-96;98
-96;98
-96;98
-96;98
-96;98
-98;98
-100;101
-102;104
-106;110
-108;113
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;116
-108;117
-108;119
-108;121
-108;122
-108;126
-108;127
