x;y
-108;-113
-108;-112
-108;-108
-108;-106
-108;-102
-108;-100
-108;-97
-108;-95
-108;-92
-108;-90
-108;-87
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-108;-85
-106;-85
-104;-85
-102;-85
-100;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-96;-85
-94;-85
-91;-85
-84;-85
-81;-85
-75;-85
-72;-85
-70;-85
-67;-85
-65;-85
-63;-84
-61;-78
-61;-75
-61;-72
-61;-68
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-66
-61;-64
-54;-60
-49;-58
-45;-56
-37;-52
-33;-52
-30;-52
-27;-52
-23;-52
-17;-52
-16;-50
-16;-49
-16;-47
-16;-45
-16;-42
-16;-39
-16;-36
-16;-33
-16;-29
-16;-23
-16;-18
-16;-16
-16;-14
-16;-12
-16;-9
-15;-7
-7;-4
-4;-3
0;-1
7;1
11;1
14;1
18;1
25;1
29;1
29;1
29;1
29;1
29;1
29;1
29;6
29;8
29;11
29;13
29;16
29;19
29;19
29;19
29;19
29;19
31;20
33;23
34;25
36;27
37;29
40;33
42;33
44;33
45;33
49;33
49;35
49;37
49;39
49;41
49;43
49;47
49;49
49;51
49;53
49;57
49;59
49;61
49;64
49;66
49;67
49;68
49;68
49;68
49;68
49;68
49;68
49;68
49;68
49;68
51;68
53;68
56;68
58;68
62;68
64;68
66;68
68;68
72;68
74;68
76;68
76;71
76;75
76;78
76;80
76;83
76;85
76;85
76;85
76;85
76;85
76;85
76;88
76;90
76;92
76;93
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;95
76;96
76;99
76;101
76;104
76;109
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
76;111
77;111
79;113
82;116
84;118
86;122
86;122
86;122
86;122
86;122
86;122
86;122
86;122
86;122
86;122
86;122
86;122
90;122
91;122
95;122
102;122
111;122
125;122
