time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;0
819;120;-120;0;0
882;120;-120;0;0
945;120;-120;0;0
1008;120;-120;0;0
1071;120;-120;0;0
1134;120;-120;0;0
1197;120;-120;0;0
1260;120;-120;0;0
1323;120;-120;0;0
1386;120;-120;0;0
1449;120;-120;0;0
1512;120;-120;0;0
1575;120;-120;0;0
1638;120;-120;0;0
1701;120;-120;0;0
1764;120;-120;0;0
1827;120;-120;0;0
1890;120;-120;0;0
1953;120;-120;0;0
2016;120;-120;0;0
2079;120;-120;0;0
2142;120;-120;0;0
2205;120;-120;0;78
2268;120;-120;0;78
2331;120;-120;0;78
2394;120;-120;0;78
2457;120;-120;0;78
2520;120;-117;0;329
2583;120;-110;0;329
2646;120;-106;0;329
2709;120;-102;0;329
2772;120;-99;0;329
2835;120;-91;0;343
2898;120;-88;0;343
2961;120;-84;0;343
3024;120;-80;0;343
3087;120;-73;0;232
3150;120;-70;0;232
3213;120;-67;0;232
3276;120;-63;0;232
3339;120;-57;0;232
3402;120;-53;0;230
3465;120;-50;0;230
3528;120;-47;0;230
3591;120;-40;0;230
3654;120;-37;0;230
3717;120;-33;0;202
3780;120;-30;0;202
3843;120;-24;0;202
3906;120;-20;0;202
3969;120;-17;0;202
4032;120;-14;0;166
4095;120;-9;0;166
4158;120;-7;0;166
4221;120;-4;0;166
4284;120;-2;0;166
4347;120;2;0;160
4410;120;5;0;160
4473;120;7;0;160
4536;120;10;0;160
4599;120;15;0;160
4662;120;17;0;153
4725;120;19;0;153
4788;120;21;0;153
4851;120;25;0;153
4914;120;27;0;153
4977;120;29;0;145
5040;120;31;0;145
5103;120;35;0;145
5166;120;37;0;145
5229;120;39;0;145
5292;120;42;0;161
5355;120;47;0;161
5418;120;49;0;161
5481;120;52;0;161
5544;120;54;0;161
5607;120;59;0;159
5670;120;61;0;159
5733;120;64;0;159
5796;120;66;0;159
5859;120;71;0;135
5922;120;73;0;135
5985;120;75;0;135
6048;120;77;0;135
6111;120;81;0;135
6174;120;83;0;142
6237;120;85;0;142
6300;120;87;0;142
6363;120;91;0;142
6426;120;93;0;142
6489;120;95;0;142
6552;120;97;0;119
6615;120;100;0;119
6678;120;101;0;119
6741;120;103;0;119
6804;120;104;0;119
6867;120;105;0;92
6930;120;105;0;92
6993;120;105;0;92
7056;120;105;0;92
7119;120;105;0;116
7182;120;107;0;116
7245;120;108;0;116
7308;120;110;0;116
7371;120;113;0;116
7434;120;113;0;96
7497;120;113;0;96
7560;120;113;0;96
7623;120;113;0;96
7686;120;113;0;96
7749;120;113;0;0
7812;120;113;0;0
7875;120;113;0;0
7938;120;113;0;0
8001;120;113;0;0
8064;120;113;0;0
8127;120;113;0;0
8190;120;113;0;0
8253;120;113;0;0
8316;120;113;0;0
8379;120;113;0;81
8442;120;113;0;81
8505;120;113;0;81
8568;120;113;0;81
8631;120;113;0;81
8694;120;115;0;113
8757;120;116;0;113
8820;120;118;0;113
8883;120;121;0;113
8946;120;122;0;113
9009;120;122;0;0
9072;120;122;0;0
9135;120;122;0;0
9198;120;122;0;0
9261;120;122;0;0
9324;120;122;0;0
9387;120;122;0;0
9450;120;122;0;0
9513;120;122;0;0
9576;120;122;0;0
9639;120;122;0;0
9702;120;122;0;0
9765;120;122;0;0
9828;120;122;0;0
9891;120;122;0;0
9954;120;122;0;0
10017;120;122;0;0
10080;120;122;0;0
10143;120;122;0;0
10206;120;122;0;0
10269;120;122;0;0
10332;120;122;0;0
10395;120;122;0;0
10458;120;122;-29;0
10521;120;122;-29;0
10584;120;122;-29;0
10647;120;122;-29;0
10710;120;122;-29;0
10773;120;122;-29;0
10836;120;122;-57;0
10899;120;122;-57;0
10962;120;122;-57;-26
11025;120;122;-57;-26
11088;120;122;-57;-26
11151;120;122;-110;-26
11214;120;122;-110;-63
11277;120;122;-110;-63
11340;120;122;-110;-63
11403;120;122;-108;-63
11466;120;122;-108;-63
11529;120;122;-108;-39
11592;120;122;-108;-39
11655;120;122;-108;-39
11718;120;122;-86;-39
11781;120;122;-86;-39
11844;120;122;-86;-29
11907;120;122;-86;-29
11970;120;122;-86;-29
12033;120;122;-68;-29
12096;120;122;-68;-29
12159;120;122;-68;-36
12222;120;122;-68;-36
12285;120;122;-68;-36
12348;120;122;-107;-36
12411;120;122;-107;-36
12474;120;122;-107;-72
12537;120;122;-107;-72
12600;120;122;-107;-72
12663;119;122;-120;-72
12726;116;122;-120;-95
12789;114;122;-120;-95
12852;113;122;-120;-95
12915;111;122;-120;-95
12978;107;122;-142;-95
13041;105;122;-142;-95
13104;103;122;-142;-100
13167;101;122;-142;-100
13230;97;122;-142;-100
13293;95;122;-142;-100
13356;95;122;-36;-100
13419;95;122;-36;-107
13482;95;122;-36;-107
13545;95;122;-36;-107
13608;95;122;-36;-107
13671;95;122;0;-107
13734;95;120;0;-124
13797;95;118;0;-124
13860;95;116;0;-124
13923;95;115;0;-124
13986;95;112;0;-66
14049;95;112;0;-66
14112;95;112;0;-66
14175;95;112;0;-66
14238;95;112;0;-66
14301;95;112;0;-94
14364;95;112;0;-94
14427;95;112;0;-94
14490;95;112;0;-94
14553;95;112;-68;-94
14616;95;112;-68;-148
14679;95;110;-68;-148
14742;95;106;-68;-148
14805;95;104;-68;-148
14868;95;101;-118;-148
14931;93;99;-118;-122
14994;90;96;-118;-122
15057;89;95;-118;-122
15120;87;93;-118;-122
15183;86;92;-118;-122
15246;82;90;-129;-63
15309;81;90;-129;-63
15372;79;90;-129;-63
15435;77;90;-129;-63
15498;75;90;-97;-63
15561;75;90;-97;-108
15624;75;90;-97;-108
15687;75;90;-97;-108
15750;75;90;-97;-108
15813;75;90;-96;-108
15876;75;87;-96;-155
15939;75;85;-96;-155
16002;75;82;-96;-155
16065;75;80;-96;-155
16128;75;78;-106;-155
16191;75;77;-106;-108
16254;75;77;-106;-108
16317;75;77;-106;-108
16380;75;77;-106;-108
16443;75;77;-105;-108
16506;75;77;-105;-82
16569;75;77;-105;-82
16632;75;77;-105;-82
16695;75;77;-105;-82
16758;73;77;-126;-140
16821;71;75;-126;-140
16884;70;73;-126;-140
16947;68;71;-126;-140
17010;65;67;-111;-140
17073;63;65;-111;-97
17136;62;65;-111;-97
17199;59;65;-111;-97
17262;57;65;-111;-97
17325;56;65;-111;-97
17388;55;65;-79;-97
17451;55;65;-79;-98
17514;55;65;-79;-98
17577;55;65;-79;-98
17640;55;65;-79;-98
17703;55;65;-100;-98
17766;55;61;-100;-148
17829;55;59;-100;-148
17892;55;57;-100;-148
17955;55;55;-100;-148
18018;53;51;-117;-131
18081;51;49;-117;-131
18144;50;47;-117;-131
18207;47;44;-117;-131
18270;45;42;-113;-131
18333;44;41;-113;-66
18396;42;41;-113;-66
18459;41;41;-113;-66
18522;38;41;-113;-66
18585;37;41;-98;-66
18648;37;41;-98;-105
18711;37;41;-98;-105
18774;37;41;-98;-105
18837;37;41;-98;-105
18900;37;41;-108;-105
18963;37;41;-108;-133
19026;37;37;-108;-133
19089;37;36;-108;-133
19152;37;34;-108;-133
19215;37;32;-118;-133
19278;34;31;-118;-102
19341;32;31;-118;-102
19404;31;31;-118;-102
19467;29;31;-118;-102
19530;26;31;-117;-102
19593;25;31;-117;-81
19656;23;31;-117;-81
19719;20;31;-117;-81
19782;19;31;-117;-81
19845;18;31;-102;-81
19908;18;29;-102;-116
19971;18;26;-102;-116
20034;18;25;-102;-116
20097;18;23;-102;-116
20160;18;22;-95;-116
20223;18;21;-95;-95
20286;18;21;-95;-95
20349;18;21;-95;-95
20412;18;21;-95;-95
20475;18;21;-115;-95
20538;15;21;-115;-102
20601;13;21;-115;-102
20664;12;21;-115;-102
20727;10;21;-115;-102
20790;7;21;-125;-102
20853;5;21;-125;-102
20916;3;21;-125;-146
20979;2;19;-125;-146
21042;0;15;-97;-146
21105;0;12;-97;-146
21168;0;10;-97;-146
21231;0;8;-97;-91
21294;0;8;-97;-91
21357;0;8;-93;-91
21420;0;8;-93;-91
21483;0;8;-93;-91
21546;0;8;-93;-96
21609;0;8;-93;-96
21672;0;8;-93;-96
21735;-4;8;-133;-96
21798;-5;8;-133;-96
21861;-7;7;-133;-160
21924;-11;2;-133;-160
21987;-12;0;-120;-160
22050;-14;-1;-120;-160
22113;-16;-4;-120;-160
22176;-19;-4;-120;-101
22239;-21;-4;-120;-101
22302;-22;-4;-87;-101
22365;-22;-4;-87;-101
22428;-22;-4;-87;-101
22491;-22;-5;-87;-127
22554;-22;-9;-87;-127
22617;-22;-10;-101;-127
22680;-22;-12;-101;-127
22743;-22;-16;-101;-130
22806;-22;-17;-101;-130
22869;-22;-19;-101;-130
22932;-22;-21;-120;-130
22995;-26;-24;-120;-130
23058;-27;-26;-120;-103
23121;-29;-26;-120;-103
23184;-32;-26;-138;-103
23247;-32;-26;-138;-103
23310;-36;-26;-138;-103
23373;-38;-26;-138;-129
23436;-40;-27;-138;-129
23499;-42;-29;-138;-129
23562;-45;-33;-122;-129
23625;-47;-34;-122;-129
23688;-49;-36;-122;-126
23751;-52;-39;-122;-126
23814;-54;-41;-106;-126
23877;-54;-43;-106;-126
23940;-54;-45;-106;-126
24003;-54;-47;-106;-107
24066;-54;-47;-106;-107
24129;-54;-47;-106;-107
24192;-54;-47;-105;-107
24255;-54;-47;-105;-107
24318;-54;-48;-105;-145
24381;-54;-50;-105;-145
24444;-54;-52;-105;-145
24507;-57;-56;-128;-145
24570;-59;-58;-128;-145
24633;-61;-60;-128;-138
24696;-62;-62;-128;-138
24759;-66;-66;-130;-138
24822;-68;-67;-130;-138
24885;-69;-69;-130;-138
24948;-71;-70;-130;-99
25011;-74;-70;-130;-99
25074;-76;-70;-103;-99
25137;-76;-70;-103;-99
25200;-76;-70;-103;-99
25263;-76;-72;-103;-123
25326;-76;-74;-103;-123
25389;-76;-76;-126;-123
25452;-80;-79;-126;-123
25515;-81;-81;-126;-125
25578;-83;-83;-126;-125
25641;-85;-84;-126;-125
25704;-87;-86;-123;-125
25767;-90;-90;-123;-125
25830;-92;-91;-123;-104
25893;-93;-91;-123;-104
25956;-95;-91;-123;-104
26019;-98;-91;-114;-104
26082;-100;-91;-114;-104
26145;-101;-91;-114;-104
26208;-104;-94;-114;-116
26271;-106;-95;-114;-116
26334;-107;-97;-120;-116
26397;-109;-98;-120;-116
26460;-112;-100;-120;-101
26523;-114;-100;-120;-101
26586;-115;-100;-120;-101
26649;-116;-100;-94;-101
26712;-116;-100;-94;-101
26775;-116;-100;-94;-95
26838;-116;-100;-94;-95
26901;-116;-100;-94;-95
26964;-116;-100;-43;-95
27027;-116;-100;-43;-95
27090;-116;-101;-43;-123
27153;-116;-103;-43;-123
27216;-116;-106;-35;-123
27279;-116;-108;-35;-123
27342;-116;-110;-35;-123
27405;-116;-111;-35;-80
27468;-116;-111;-35;-80
27531;-116;-111;-44;-80
27594;-116;-111;-44;-80
27657;-116;-111;-44;-80
27720;-116;-111;-44;-51
27783;-116;-111;-44;-51
27846;-116;-111;-38;-51
27909;-116;-111;-38;-51
27972;-116;-111;-38;0
28035;-116;-111;-38;0
28098;-116;-111;-38;0
28161;-116;-111;-35;0
28224;-116;-111;-35;0
28287;-116;-111;-35;0
28350;-116;-111;-35;0
28413;-116;-111;-35;0
28476;-116;-111;-35;0
28539;-116;-111;-29;0
28602;-116;-111;-29;0
28665;-116;-111;-29;0
28728;-116;-111;-29;0
28791;-116;-111;0;0
28854;-116;-111;0;0
28917;-116;-111;0;0
28980;-116;-111;0;0
29043;-116;-111;0;0
29106;-116;-111;0;0
29169;-116;-111;0;0
29232;-116;-111;0;0
29295;-116;-111;0;0
29358;-116;-111;0;0
29421;-116;-111;0;0
29484;-116;-111;0;0
29547;-116;-111;0;0
29610;-116;-111;0;0
29673;-116;-111;0;0
29736;-116;-111;0;0
29799;-116;-111;0;0
29862;-116;-111;0;0
29925;-116;-111;0;0
29988;-116;-111;0;0
30051;-116;-111;0;0
30114;-116;-111;0;0
30177;-116;-111;0;0
30240;-116;-111;0;0
30303;-116;-111;0;0
30366;-116;-111;0;0
30429;-116;-111;0;0
30492;-116;-111;0;0
30555;-116;-111;0;0
30618;-116;-111;0;0
30681;-116;-111;0;0
30744;-116;-111;0;0
30807;-116;-111;0;0
30870;-116;-111;0;0
30933;-116;-111;0;0
30996;-116;-111;0;0
31059;-116;-111;0;0
31122;-116;-111;0;0
31185;-116;-111;0;0
31248;-116;-111;0;0
31311;-116;-111;0;0
31374;-116;-111;0;0
31437;-116;-111;0;0
31500;-116;-111;0;0
31563;-116;-111;0;0
31626;-116;-111;0;0
31689;-115;-111;252;0
31752;-105;-111;252;-78
31815;-105;-111;252;-78
31878;-96;-111;252;-78
31941;-91;-111;252;-78
32004;-87;-111;347;-78
32067;-83;-111;347;-71
32130;-76;-111;347;-71
32193;-72;-111;347;-71
32256;-69;-111;347;-71
32319;-60;-111;267;-53
32382;-56;-111;267;-53
32445;-51;-111;267;-53
32508;-46;-111;267;-53
32571;-37;-111;267;-53
32634;-33;-111;389;-53
32697;-30;-111;389;-63
32760;-26;-111;389;-63
32823;-19;-111;389;-63
32886;-15;-111;389;-63
32949;-11;-111;467;-63
33012;-8;-111;467;-84
33075;0;-111;467;-84
33138;2;-111;467;-84
33201;6;-111;467;-84
33264;13;-111;513;-91
33327;17;-111;513;-91
33390;20;-111;513;-91
33453;24;-111;513;-91
33516;28;-111;513;-91
33579;35;-111;604;-100
33642;39;-111;604;-100
33705;42;-111;604;-100
33768;46;-111;604;-100
33831;53;-111;620;-100
33894;57;-111;620;-93
33957;60;-111;620;-93
34020;68;-111;620;-93
34083;68;-111;620;-93
34146;75;-111;481;-93
34209;78;-111;481;-92
34272;82;-111;481;-92
34335;89;-111;481;-92
34398;93;-111;481;-92
34461;97;-111;288;-92
34524;100;-111;288;-96
34587;108;-111;288;-96
34650;111;-111;288;-96
34713;115;-111;288;-96
34776;120;-111;114;-96
34839;122;-111;114;-88
34902;123;-111;114;-88
34965;125;-111;114;-88
35028;127;-111;114;-88
35091;128;-111;0;-88
35154;128;-111;0;-102
35217;128;-111;0;-102
35280;128;-111;0;-102
35343;128;-111;0;-102
35406;128;-111;0;-102
35469;128;-112;0;-112
35532;128;-115;0;-112
35595;128;-116;0;-112
35658;128;-118;-30;-112
35721;128;-119;-30;-112
35784;128;-120;-30;-76
35847;128;-120;-30;-76
35910;128;-120;-30;-76
35973;128;-120;0;-76
36036;128;-120;0;-53
36099;128;-120;0;-53
36162;128;-120;0;-53
36225;128;-120;0;-53
36288;128;-120;0;-53
36351;128;-120;0;-35
36414;128;-120;0;-35
36477;128;-120;0;-35
36540;128;-120;0;-35
36603;128;-120;0;-35
36666;128;-120;0;0
36729;128;-120;0;0
36792;128;-120;0;0
36855;128;-120;0;0
36918;128;-120;0;0
36981;128;-120;0;0
37044;128;-120;0;0
37107;128;-120;0;0
37170;128;-120;0;0
37233;128;-120;0;0
37296;128;-120;0;0
37359;128;-120;0;0
37422;128;-120;0;0
37485;128;-120;0;0
37548;128;-120;-46;0
37611;128;-120;-46;0
37674;128;-120;-46;0
37737;128;-120;-46;0
37800;128;-120;-84;0
37863;128;-120;-84;0
37926;128;-120;-84;0
37989;128;-120;-84;0
38052;128;-120;-84;0
38115;128;-120;-84;0
38178;127;-120;-132;0
38241;125;-120;-132;0
38304;124;-120;-132;0
38367;120;-120;-132;0
38430;118;-120;-132;0
38493;117;-120;-121;0
38556;115;-120;-121;0
