x;y
120;119
118;119
115;119
113;119
111;119
109;119
105;119
103;119
100;119
98;119
95;119
95;119
95;119
95;119
95;119
95;119
95;119
95;119
95;116
95;114
95;113
95;111
95;108
95;108
95;108
95;108
95;108
95;108
95;108
95;108
92;108
89;108
86;108
83;106
78;102
76;100
74;98
72;96
67;96
65;96
65;96
65;96
65;94
65;92
65;91
64;89
60;85
59;84
57;82
55;80
52;76
50;73
48;71
47;70
43;66
42;64
40;63
38;61
35;58
34;56
34;55
34;53
34;51
34;51
34;51
32;51
29;51
28;50
26;49
25;47
20;44
17;43
15;41
12;41
8;41
7;41
5;41
4;41
1;38
0;36
0;35
0;31
0;30
0;28
0;26
0;24
0;21
0;19
0;18
0;16
-2;12
-5;11
-7;9
-12;6
-15;4
-17;2
-20;1
-25;-2
-28;-4
-30;-5
-31;-7
-33;-8
-36;-11
-37;-13
-39;-14
-39;-17
-39;-19
-39;-20
-39;-22
-39;-24
-39;-27
-39;-29
-39;-31
-39;-33
-40;-37
-43;-39
-45;-41
-49;-43
-51;-43
-54;-43
-56;-43
-58;-43
-63;-43
-65;-43
-68;-43
-70;-43
-73;-43
-75;-44
-76;-45
-79;-48
-81;-50
-81;-51
-81;-53
-81;-56
-81;-58
-81;-60
-81;-62
-81;-63
-81;-63
-81;-63
-81;-63
-81;-63
-81;-65
-81;-67
-81;-69
-83;-73
-85;-75
-87;-77
-89;-77
-91;-77
-94;-77
-96;-77
-97;-77
-100;-77
-102;-77
-103;-77
-104;-77
-104;-77
-104;-77
-104;-77
-104;-77
-104;-77
-104;-78
-104;-80
-104;-82
-104;-85
-104;-87
-104;-88
-104;-90
-104;-93
-104;-94
-104;-96
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-97
-104;-98
-104;-100
-104;-103
-104;-103
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-104;-107
-106;-107
-107;-107
-110;-107
-112;-107
-113;-107
-115;-107
-118;-107
-119;-107
-121;-107
