x;y
114;-112
114;-109
114;-107
114;-105
114;-103
114;-101
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
114;-100
113;-100
112;-100
110;-100
109;-100
106;-100
104;-100
104;-100
104;-100
104;-100
104;-100
104;-100
104;-100
104;-100
104;-100
104;-99
104;-97
101;-95
99;-93
98;-92
96;-91
93;-91
91;-91
89;-91
87;-91
85;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-91
82;-89
80;-85
78;-83
74;-79
72;-77
70;-75
68;-73
63;-69
61;-67
59;-67
58;-67
54;-67
52;-67
51;-67
49;-67
46;-67
45;-67
45;-67
45;-67
45;-67
45;-67
45;-67
45;-67
45;-67
45;-67
45;-65
45;-63
45;-62
45;-60
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-58
45;-55
45;-50
45;-48
45;-45
45;-43
45;-38
45;-35
45;-33
45;-28
45;-28
45;-28
45;-28
44;-28
40;-28
39;-28
37;-28
35;-28
31;-28
29;-28
27;-27
24;-24
22;-23
22;-21
22;-20
22;-19
22;-19
22;-19
19;-19
17;-19
16;-19
14;-19
11;-19
9;-19
8;-18
4;-14
3;-12
3;-10
3;-6
3;-3
3;-3
3;-3
3;-3
3;-3
3;-3
3;-3
2;-3
-1;-3
-2;-3
-4;-2
-8;1
-8;3
-8;7
-8;8
-8;8
-8;8
-8;8
-8;8
-8;8
-9;8
-10;8
-13;9
-16;14
-18;16
-22;21
-24;24
-29;24
-29;24
-29;24
-29;26
-29;31
-31;33
-35;38
-39;42
-41;44
-43;46
-46;51
-49;51
-50;51
-54;51
-58;52
-60;54
-62;56
-66;60
-70;64
-74;64
-76;64
-77;64
-80;64
-83;69
-85;71
-86;74
-91;78
-92;78
-94;78
-94;78
-94;80
-94;81
-94;83
-94;85
-94;87
-94;87
-94;87
-94;87
-94;87
-94;90
-94;92
-94;94
-94;96
-94;96
-94;96
-94;96
-94;98
-94;100
-94;101
-97;104
-101;105
-106;105
-110;105
-112;105
-116;105
-120;105
-120;105
-120;108
-120;110
-120;112
-120;115
