x;y
-127;123
-127;120
-127;117
-127;115
-127;112
-127;110
-127;106
-127;104
-127;103
-127;101
-127;98
-127;96
-127;93
-127;91
-124;86
-123;84
-122;81
-120;78
-116;72
-114;70
-112;67
-110;64
-108;60
-105;54
-105;50
-105;44
-105;41
-105;37
-105;34
-105;27
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;26
-105;25
-105;18
-105;15
-105;12
-105;5
-105;3
-105;1
-105;-1
-105;-3
-105;-4
-105;-6
-105;-8
-105;-10
-105;-12
-105;-13
-105;-17
-105;-23
-105;-26
-105;-30
-105;-33
-105;-36
-105;-41
-105;-43
-105;-46
-105;-48
-105;-52
-105;-54
-105;-56
-105;-57
-105;-59
-105;-63
-105;-67
-105;-69
-105;-71
-105;-73
-105;-75
-105;-80
-105;-82
-105;-84
-105;-86
-105;-88
-105;-92
-105;-94
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-98
-105;-101
-105;-103
-105;-105
-105;-107
-105;-109
-105;-111
-105;-112
-105;-112
