x;y
126;112
126;115
126;125
126;129
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;130
126;128
126;125
126;122
126;121
126;120
126;120
126;120
126;120
126;120
126;120
126;120
126;120
125;120
123;120
122;120
120;120
116;120
115;120
113;120
111;120
109;120
105;120
103;120
101;120
101;120
101;120
101;120
101;120
101;120
101;120
101;117
101;115
101;113
101;112
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;110
101;109
101;107
101;104
101;102
101;101
101;99
101;99
101;99
101;99
101;99
101;99
101;99
101;99
101;99
98;99
97;99
95;99
94;99
91;99
89;99
88;98
86;96
85;95
83;92
83;90
83;90
83;90
83;90
83;90
83;90
83;87
83;85
83;84
83;82
83;79
83;79
83;79
83;79
83;79
83;79
83;79
83;79
83;79
81;79
79;79
76;77
74;76
72;74
71;72
68;69
66;69
65;69
63;69
63;69
63;69
63;69
63;69
63;69
63;69
63;69
63;67
63;65
63;63
63;59
63;57
63;56
63;56
63;56
61;56
59;56
57;56
55;56
52;56
51;56
49;56
48;56
45;53
43;52
43;50
43;47
43;47
43;47
43;47
43;47
43;47
43;47
43;47
43;47
40;47
38;47
37;45
33;41
32;38
30;36
29;34
26;33
24;33
24;33
24;33
24;33
24;33
24;33
24;33
24;33
24;32
24;30
24;26
24;24
24;22
24;21
24;21
24;21
24;21
24;21
24;21
24;21
24;21
24;21
24;21
24;19
24;17
24;15
24;14
24;10
24;10
24;10
24;10
21;10
20;10
18;10
17;10
14;10
12;10
10;10
7;10
6;10
5;10
5;10
5;9
5;8
5;4
5;1
5;0
5;0
5;0
3;0
2;0
0;0
-2;0
-3;0
-3;0
-3;0
-3;-3
-3;-4
-3;-6
-3;-9
-3;-10
-3;-10
-3;-10
-3;-10
-3;-10
-3;-10
-3;-10
-6;-10
-7;-10
-9;-10
-12;-10
-12;-10
-12;-10
-12;-10
-12;-13
-12;-14
-12;-18
-12;-19
-12;-21
-12;-21
-12;-21
-12;-21
-12;-21
-12;-21
-12;-21
-12;-21
-12;-25
-15;-29
-17;-31
-20;-34
-21;-34
-22;-34
-22;-34
-22;-34
-22;-35
-22;-37
-22;-40
-22;-44
-22;-44
-25;-44
-27;-44
-29;-44
-33;-45
-37;-48
-39;-50
-41;-51
-47;-54
-49;-54
-53;-54
-56;-54
-58;-54
-61;-54
-65;-54
-66;-54
-70;-57
-73;-61
-77;-64
-79;-65
-79;-65
-79;-65
-79;-65
-80;-65
-83;-65
-86;-65
-88;-69
-88;-74
-88;-79
-88;-81
-88;-83
-88;-87
-88;-89
-88;-90
-92;-90
-94;-90
-97;-90
-100;-90
-104;-90
-107;-90
-109;-91
-109;-95
-109;-98
-109;-100
-109;-100
-109;-100
-109;-100
-109;-100
-109;-100
-109;-100
-109;-100
-109;-103
-109;-105
-109;-108
-109;-111
-109;-111
-111;-111
-114;-111
-117;-111
-118;-111
